site,site_lat,site_lon,epoch_year,gc_bearing_1,gc_bearing_2,star,mag,offset,direction,bearing_used,star_azimuth,star_dec_at_epoch
Giza,29.9792,31.1342,-2500,84.86,264.86,Procyon,0.34,0.13,set,264.9,264.7,4.56
Giza,29.9792,31.1342,-2600,84.86,264.86,Procyon,0.34,0.21,set,264.9,265.1,4.27
Giza,29.9792,31.1342,-3000,84.86,264.86,Alhena,1.93,0.52,set,264.9,264.3,4.9
Giza,29.9792,31.1342,-10000,84.86,264.86,Menkalinan,1.9,1.06,rise,84.9,85.9,-3.54
Nazca,-14.735,-75.13,-200,63.14,243.14,Nunki,2.02,0.36,rise,63.1,63.5,-25.57
Nazca,-14.735,-75.13,-500,63.14,243.14,Wezen,1.84,0.61,rise,63.1,63.7,-25.32
Nazca,-14.735,-75.13,-600,63.14,243.14,Wezen,1.84,0.52,rise,63.1,63.7,-25.41
Easter Island,-27.1127,-109.3497,1000,75.7,255.7,Aldebaran,0.85,1.4,set,255.7,254.3,13.94
Easter Island,-27.1127,-109.3497,1200,75.7,255.7,Aldebaran,0.85,2.09,set,255.7,253.6,14.55
Easter Island,-27.1127,-109.3497,1400,75.7,255.7,Regulus,1.35,2.38,set,255.7,253.3,14.8
Persepolis,29.9352,52.8916,-500,95.79,275.79,Mintaka,2.23,0.73,set,275.8,276.5,-5.65
Persepolis,29.9352,52.8916,-520,95.79,275.79,Altair,0.76,0.77,rise,95.8,96.6,5.69
Persepolis,29.9352,52.8916,-2000,95.79,275.79,Procyon,0.34,0.97,rise,95.8,96.8,5.86
Mohenjo-daro,27.3242,68.1367,-2500,103.15,283.15,Alnath,1.65,1.21,rise,103.1,104.4,12.73
Mohenjo-daro,27.3242,68.1367,-2600,103.15,283.15,Alnath,1.65,0.6,rise,103.1,103.8,12.19
Mohenjo-daro,27.3242,68.1367,-3000,103.15,283.15,Bellatrix,1.64,0.5,set,283.1,282.6,-11.22
Angkor Wat,13.4125,103.867,1100,116.61,296.61,Wezen,1.84,0.55,set,296.6,296.1,-25.31
Angkor Wat,13.4125,103.867,1150,116.61,296.61,Wezen,1.84,0.5,set,296.6,296.1,-25.35
Angkor Wat,13.4125,103.867,1200,116.61,296.61,Wezen,1.84,0.46,set,296.6,296.2,-25.39
Machu Picchu,-13.1631,-72.545,1450,62.51,242.51,Nunki,2.02,0.1,rise,62.5,62.4,-26.8
Machu Picchu,-13.1631,-72.545,1400,62.51,242.51,Nunki,2.02,0.12,rise,62.5,62.4,-26.82
Ollantaytambo,-13.2581,-72.2636,1400,62.45,242.45,Nunki,2.02,0.07,rise,62.5,62.4,-26.82
Ollantaytambo,-13.2581,-72.2636,1450,62.45,242.45,Nunki,2.02,0.04,rise,62.5,62.4,-26.8
