pop1,pop2,fst,lin_fst,geo_dist_km,log_geo_dist,classification,ibd_residual
LWK,BDW,0.065,0.0695,3391.5,8.129,mixed,0.00942
BDW,BAL,0.028,0.0288,3009.0,8.0093,both_on,-0.0252
BAL,SIN,0.008,0.0081,374.7,5.9261,both_on,0.06011
SIN,GIH,0.005,0.005,548.8,6.3077,both_on,0.03764
GIH,DRA,0.009,0.0091,1381.4,7.2309,mixed,-0.00529
DRA,VED,0.015,0.0152,495.8,6.2063,both_off,0.05301
VED,MLY,0.04,0.0417,2364.5,7.7683,both_off,-7e-05
MLY,JAV,0.012,0.0121,1506.4,7.3175,both_off,-0.00664
JAV,PNG,0.095,0.105,3911.5,8.2717,mixed,0.03762
PNG,ABR,0.065,0.0695,2458.4,7.8073,mixed,0.0258
LWK,BAL,0.075,0.0811,4514.1,8.415,mixed,0.00643
LWK,GIH,0.082,0.0893,4753.4,8.4666,mixed,0.01205
LWK,DRA,0.088,0.0965,4912.0,8.4994,both_off,0.01754
LWK,MLY,0.105,0.1173,7439.8,8.9146,both_off,0.01724
LWK,PNG,0.145,0.1696,12335.4,9.4202,mixed,0.04377
BAL,DRA,0.015,0.0152,2266.9,7.7262,mixed,-0.02436
BAL,MLY,0.042,0.0438,4687.1,8.4526,mixed,-0.03272
BAL,PNG,0.11,0.1236,9328.2,9.1408,both_on,0.012
GIH,MLY,0.03,0.0309,3795.2,8.2415,mixed,-0.03489
GIH,PNG,0.105,0.1173,8553.3,9.0541,both_on,0.01014
DRA,MLY,0.035,0.0363,2756.6,7.9218,both_off,-0.01327
DRA,PNG,0.11,0.1236,7736.8,8.9537,mixed,0.02152
BDW,GIH,0.032,0.0331,3840.3,8.2533,both_on,-0.03336
BDW,DRA,0.038,0.0395,4944.6,8.506,mixed,-0.03978
SIN,MLY,0.025,0.0256,4337.0,8.3749,mixed,-0.04697
CEU,FIN,0.008,0.0081,1619.5,7.3899,both_off,-0.0144
CEU,RUS,0.01,0.0101,1896.7,7.5479,both_off,-0.02041
RUS,UZB,0.02,0.0204,2514.6,7.8299,both_off,-0.02446
UZB,MNG,0.03,0.0309,3443.8,8.1443,both_off,-0.02994
MNG,CHB,0.015,0.0152,1160.1,7.0563,both_off,0.00974
CHB,JPT,0.007,0.007,1895.4,7.5472,both_off,-0.02343
CHB,KOR,0.004,0.004,959.6,6.8666,both_off,0.00819
JPT,KOR,0.005,0.005,938.3,6.844,both_off,0.01034
CEU,CHB,0.1,0.1111,7706.5,8.9498,both_off,0.00924
CEU,JPT,0.098,0.1086,9225.1,9.1297,both_off,-0.00238
FIN,CHB,0.105,0.1173,6230.2,8.7372,both_off,0.02627
FIN,MNG,0.075,0.0811,5072.2,8.5315,both_off,0.0005
RUS,CHB,0.085,0.0929,5848.9,8.674,both_off,0.00506
RUS,MNG,0.055,0.0582,4700.6,8.4554,both_off,-0.01851
CEU,MNG,0.07,0.0753,6548.8,8.787,both_off,-0.01832
TIB,CHB,0.012,0.0121,2496.3,7.8226,both_off,-0.03235
TIB,MNG,0.025,0.0256,2312.8,7.7462,both_off,-0.01497
GIH,CEU,0.045,0.0471,6187.1,8.7302,mixed,-0.04358
GIH,CHB,0.065,0.0695,4551.7,8.4233,mixed,-0.00555
DRA,CEU,0.055,0.0582,7506.7,8.9235,both_off,-0.04234
DRA,CHB,0.072,0.0776,4959.9,8.5091,both_off,-0.00186
MLY,CHB,0.025,0.0256,4361.8,8.3806,both_off,-0.04726
MLY,JPT,0.028,0.0288,5080.1,8.5331,both_off,-0.05186
MLY,CEU,0.078,0.0846,9864.9,9.1967,both_off,-0.02985
PNG,CHB,0.135,0.1561,5935.3,8.6887,mixed,0.06749
PNG,CEU,0.155,0.1834,13629.5,9.52,mixed,0.05253
PNG,JPT,0.14,0.1628,4651.4,8.4449,mixed,0.08662
ABR,CHB,0.145,0.1696,7454.3,8.9165,both_off,0.06941
ABR,CEU,0.16,0.1905,14511.5,9.5827,both_off,0.05638
LWK,CEU,0.135,0.1561,5985.7,8.6971,both_off,0.06706
LWK,CHB,0.155,0.1834,9257.1,9.1332,both_off,0.07222
LWK,JPT,0.15,0.1765,11083.6,9.3132,both_off,0.0561
BAL,CEU,0.025,0.0256,5269.5,8.5697,mixed,-0.05688
BAL,CHB,0.065,0.0695,4766.8,8.4694,mixed,-0.0079
JAV,CEU,0.07,0.0753,11371.3,9.3389,both_off,-0.04641
JAV,CHB,0.02,0.0204,5295.5,8.5746,both_off,-0.06237
JAV,JPT,0.025,0.0256,5469.0,8.6069,both_off,-0.05878
BDW,CEU,0.028,0.0288,2961.5,7.9934,mixed,-0.02438
BDW,CHB,0.072,0.0776,7181.0,8.8792,mixed,-0.02069
