name,n_waypoints,route_type,total_distance_km,fit_pole_lat,fit_pole_lon,rms_from_gc_km,rms_from_rhumb_km,gc_preferred,angular_sep_from_great_circle_deg
Hawaii-Tahiti (Hokule'a 1976),5,documented,4437.0,10.5444,-62.406,73.9,108.1,True,73.98
Hawaii-Tahiti (Hokule'a 1980),4,documented,4500.0,-12.3995,117.5031,79.5,177.8,True,72.34
Voyage of Rediscovery (Hokule'a 1985-1987),14,documented,20463.0,31.6774,118.199,1171.9,4729.0,True,69.17
Hawaii-Rapa Nui (Hokule'a 1999-2000),7,documented,8969.0,35.118,-55.9841,541.2,1414.4,True,56.68
Samoa-Society Islands,6,reconstructed,2779.0,70.9271,-135.5765,223.3,356.2,True,11.31
Society Islands-Marquesas,5,reconstructed,1769.0,-50.1416,-38.5267,78.8,198.8,True,43.99
Marquesas-Easter Island,5,reconstructed,4201.0,52.5947,-71.1306,402.8,937.6,True,36.58
Society Islands-Cook Islands,5,reconstructed,1282.0,-62.1038,-25.2698,79.1,155.9,True,31.06
Tonga-Samoa,6,traditional,1529.0,-38.9798,-67.8579,137.7,286.0,True,65.55
Fiji-Tonga,4,traditional,1024.0,-60.7239,53.9638,74.0,11742.5,True,6.34
Society Islands-New Zealand,5,reconstructed,4270.0,48.2856,137.4141,178.7,10648.9,True,47.17
Marquesas-Hawaii,5,reconstructed,3739.0,28.9756,-56.3938,183.3,334.7,True,61.46
Society Islands-Mangareva-Easter Island (simulated),4,simulated,4265.0,61.8329,-97.2232,62.9,276.3,True,20.0
West-to-East Polynesia (simulated colonization pathway),6,simulated,4459.0,-71.4861,26.8539,300.5,679.8,True,13.16
