name,lat,lon,gc_distance_km,depth_m,levels
Gaziemir,38.3,34.7,904.7,15,4
Güzelyurt (Gelveri),38.305,34.323,907.3,20,4
Derinkuyu,38.374,34.735,912.8,85,18
Çardak,38.41,34.6,917.5,10,3
Tilköy,38.43,34.78,918.8,10,2
Kaymakli,38.463,34.752,922.6,40,8
Sivasa/Gökçe,38.485,34.5,926.3,10,3
Saratli,38.52,34.81,928.6,20,5
Tatlarin,38.51,34.558,928.8,25,5
Mazi (Mataza),38.555,34.665,933.2,30,4
Acigöl,38.558,34.517,934.3,15,3
Nevşehir (underground city),38.625,34.712,940.8,45,7
Özkonak,38.68,34.73,946.8,40,10
Avanos,38.716,34.849,950.2,10,3
Gülşehir,38.758,34.613,956.0,15,3
Mucur,39.064,34.386,991.2,10,3
